id,property_type,location,location_std,region,latitude,longitude,price,area_cent,area_sqft,price_per_cent,orientation,distance_to_sea,distance_to_nearest_beach_km,nearest_beach_name,distance_to_st_andrews_beach_km,distance_to_varkala_cliff_km,distance_to_city_center,distance_to_sea_note,beds,bathrooms,source_url,sea_dummy,source_host,sea_distance_band_fine
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,22000000.0,44.0,19166.4,500000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-4695-sq-yard-r1-spid-V79836591,plot,Varkala,varkala,Varkala,8.7379,76.7163,32500000.0,97.0,42253.2,335051.55,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,https://www.99acres.com/residential-land-plot-for-sale-in-varkala-trivandrum-4695-sq-yard-r1-spid-V79836591,,99acres.com,0-0.5 km
"3 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,8500000.0,10.0,4356.0,850000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,3.0,4.0,"3 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"3 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,70000000.0,70.0,30492.0,1000000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,3.0,3.0,"3 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"3 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,4600000.0,3.21,1398.28,1433021.81,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,3.0,3.0,"3 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"3 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,8000000.0,20.0,8712.0,400000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,3.0,3.0,"3 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"4 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,7500000.0,11.0,4791.6,681818.18,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,4.0,4.0,"4 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"3 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,9000000.0,22.45,9779.22,400890.87,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,3.0,2.0,"3 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"3 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,14000000.0,10.0,4356.0,1400000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,3.0,2.0,"3 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
"5 Bedroom House in Varkala, Trivandrum",property,Varkala,varkala,Varkala,8.7379,76.7163,9000000.0,18.0,7840.8,500000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,5.0,4.0,"5 Bedroom House in Varkala, Trivandrum",,,0-0.5 km
